ds,y
2026-05-26,930.2000122070312
2026-05-27,931.1500244140624
2026-05-28,931.1500244140624
2026-05-29,908.25
2026-06-01,889.0499877929688
2026-06-02,882.0
2026-06-03,876.7999877929688
2026-06-04,874.4000244140625
2026-06-05,889.4000244140625
2026-06-08,871.0999755859375
2026-06-09,886.9000244140625
2026-06-10,884.0999755859375
2026-06-11,870.5499877929688
2026-06-12,918.2999877929688
2026-06-15,942.2999877929688
2026-06-16,959.6500244140624
2026-06-17,958.4000244140624
2026-06-18,958.8499755859376
2026-06-19,961.7999877929688
2026-06-22,968.2999877929688
2026-06-23,962.4000244140624
2026-06-24,
