ds,y
2026-07-15,1404.3604736328125
2026-07-16,1406.34375
2026-07-17,1432.2257080078125
2026-07-20,1447.99267578125
2026-07-21,1450.868408203125
2026-07-22,1428.6556396484375
2026-07-23,1422.606689453125
2026-07-24,1420.9208984375
2026-07-27,1433.6138916015625
2026-07-28,1418.8385009765625
2026-07-29,1425.879150390625
2026-07-30,1421.91259765625
2026-07-31,1423.4000244140625
2026-08-03,1460.0
2026-08-04,1454.5999755859375
2026-08-05,1450.0999755859375
2026-08-06,1457.5
2026-08-07,1421.0
2026-08-10,1431.800048828125
2026-08-11,1429.5999755859375
2026-08-12,1431.699951171875
2026-08-13,
