ds,y
2026-01-29,935.1500244140624
2026-01-30,929.8499755859376
2026-02-02,903.7000122070312
2026-02-03,964.4000244140624
2026-02-04,963.2999877929688
2026-02-05,964.75
2026-02-06,981.7000122070312
2026-02-09,983.1500244140624
2026-02-10,965.5999755859376
2026-02-11,968.9500122070312
2026-02-12,999.0999755859376
2026-02-13,1024.75
2026-02-16,1012.75
2026-02-17,1014.1500244140624
2026-02-18,1023.7999877929688
2026-02-19,1017.0499877929688
2026-02-20,1030.199951171875
2026-02-23,1031.0
2026-02-24,1023.5499877929688
2026-02-25,1021.0499877929688
2026-02-26,1012.9500122070312
2026-02-27,995.9000244140624
2026-03-02,978.25
2026-03-04,945.0999755859376
2026-03-05,962.4000244140624
2026-03-06,950.2000122070312
2026-03-09,938.0499877929688
2026-03-10,939.7999877929688
2026-03-11,893.6500244140625
2026-03-12,863.0999755859375
2026-03-13,855.0499877929688
2026-03-16,878.1500244140625
2026-03-17,868.5999755859375
2026-03-18,880.0999755859375
2026-03-19,832.2000122070312
2026-03-20,830.5499877929688
2026-03-23,812.5999755859375
2026-03-24,849.0
2026-03-25,882.75
2026-03-27,843.7999877929688
2026-03-30,801.5499877929688
2026-04-01,817.2999877929688
2026-04-02,826.8499755859375
2026-04-06,850.8499755859375
2026-04-07,855.0999755859375
2026-04-08,915.0499877929688
2026-04-09,903.25
2026-04-10,924.5499877929688
2026-04-13,898.9500122070312
2026-04-15,913.1500244140624
2026-04-16,905.9000244140624
2026-04-17,908.25
2026-04-20,917.75
2026-04-21,938.8499755859376
2026-04-22,934.75
2026-04-23,918.3499755859376
2026-04-24,921.5499877929688
2026-04-27,921.7999877929688
2026-04-28,923.6500244140624
2026-04-29,930.0
