ds,y
2026-03-24,1012.5487670898438
2026-03-25,1041.821044921875
2026-03-27,1001.4487915039062
2026-03-30,962.058837890625
2026-04-01,999.7789306640624
2026-04-02,1000.3683471679688
2026-04-06,1014.4642333984376
2026-04-07,1012.1558227539062
2026-04-08,1042.656005859375
2026-04-09,1022.5189819335938
2026-04-10,1047.8131103515625
2026-04-13,1044.7188720703125
2026-04-15,1052.528076171875
2026-04-16,1048.255126953125
2026-04-17,1061.1231689453125
2026-04-20,1088.2344970703125
2026-04-21,1092.1636962890625
2026-04-22,1083.76513671875
2026-04-23,1074.875244140625
2026-04-24,1081.60400390625
2026-04-27,1092.1636962890625
2026-04-28,1071.9775390625
2026-04-29,1067.655517578125
2026-04-30,1049.5321044921875
2026-05-01,1049.5321044921875
2026-05-04,1049.4830322265625
2026-05-05,1041.133544921875
2026-05-06,1076.5943603515625
2026-05-07,1072.6651611328125
2026-05-08,1001.2523193359376
2026-05-11,956.3615112304688
2026-05-12,957.3438110351562
2026-05-13,952.9234619140624
2026-05-14,962.5499877929688
2026-05-15,963.2000122070312
2026-05-18,939.4000244140624
2026-05-19,948.7999877929688
2026-05-20,950.9000244140624
2026-05-21,950.9000244140624
2026-05-22,949.2000122070312
2026-05-25,969.5999755859376
2026-05-26,968.5
2026-05-27,967.7999877929688
2026-05-28,967.7999877929688
2026-05-29,964.4000244140624
2026-06-01,954.0999755859376
2026-06-02,956.6500244140624
2026-06-03,970.4500122070312
2026-06-04,979.25
2026-06-05,977.7000122070312
2026-06-08,981.9500122070312
2026-06-09,1002.7000122070312
2026-06-10,1003.25
2026-06-11,1000.7000122070312
2026-06-12,1017.1500244140624
2026-06-15,1020.8499755859376
2026-06-16,1015.2999877929688
2026-06-17,1026.5
2026-06-18,1042.699951171875
2026-06-19,1035.0999755859375
