ds,y
2026-02-23,2640.497314453125
2026-02-24,2539.269775390625
2026-02-25,2594.126220703125
2026-02-26,2612.27978515625
2026-02-27,2602.11767578125
2026-03-02,2578.537353515625
2026-03-04,2553.181396484375
2026-03-05,2544.3017578125
2026-03-06,2523.385498046875
2026-03-09,2493.589111328125
2026-03-10,2479.480712890625
2026-03-11,2431.92529296875
2026-03-12,2409.726318359375
2026-03-13,2378.253173828125
2026-03-16,2376.970458984375
2026-03-17,2359.70458984375
2026-03-18,2408.14794921875
2026-03-19,2324.482177734375
2026-03-20,2358.619384765625
2026-03-23,2351.910400390625
2026-03-24,2366.709716796875
2026-03-25,2345.595947265625
2026-03-27,2357.830078125
2026-03-30,2327.34326171875
2026-04-01,2375.98388671875
2026-04-02,2417.915283203125
2026-04-06,2440.804931640625
2026-04-07,2505.823486328125
2026-04-08,2524.9638671875
2026-04-09,2554.365234375
2026-04-10,2490.53076171875
2026-04-13,2439.5224609375
2026-04-15,2520.72119140625
2026-04-16,2542.427001953125
2026-04-17,2546.965576171875
2026-04-20,2545.091064453125
2026-04-21,2575.57763671875
2026-04-22,2504.540771484375
2026-04-23,2488.064208984375
2026-04-24,2364.8349609375
2026-04-27,2414.85693359375
2026-04-28,2411.99560546875
2026-04-29,2441.59423828125
2026-04-30,2440.804931640625
2026-05-01,2440.804931640625
2026-05-04,2398.77490234375
2026-05-05,2394.828369140625
2026-05-06,2402.81982421875
2026-05-07,2369.274658203125
2026-05-08,2362.368408203125
2026-05-11,2360.888427734375
2026-05-12,2269.52734375
2026-05-13,2242.395263671875
2026-05-14,2215.953857421875
2026-05-15,2233.712890625
2026-05-18,2252.656005859375
2026-05-19,2295.968994140625
2026-05-20,2296.2646484375
2026-05-21,2296.0673828125
2026-05-22,2286.300048828125
