ds,y
2026-07-16,2098.39990234375
2026-07-17,2143.800048828125
2026-07-20,2139.699951171875
2026-07-21,2142.5
2026-07-22,2154.60009765625
2026-07-23,2161.800048828125
2026-07-24,2145.0
2026-07-27,2174.60009765625
2026-07-28,2022.699951171875
2026-07-29,2117.800048828125
2026-07-30,2107.89990234375
2026-07-31,2101.300048828125
2026-08-03,2138.0
2026-08-04,2096.5
2026-08-05,2085.300048828125
2026-08-06,2079.5
2026-08-07,2096.0
2026-08-10,2087.199951171875
2026-08-11,2064.89990234375
2026-08-12,2063.0
2026-08-13,2092.0
2026-08-14,
