ds,y
2026-05-14,2215.953857421875
2026-05-15,2233.712890625
2026-05-18,2252.656005859375
2026-05-19,2295.968994140625
2026-05-20,2296.2646484375
2026-05-21,2296.0673828125
2026-05-22,2286.300048828125
2026-05-25,2308.199951171875
2026-05-26,2276.199951171875
2026-05-27,2284.199951171875
2026-05-28,2284.199951171875
2026-05-29,2258.89990234375
2026-06-01,2297.39990234375
2026-06-02,2446.89990234375
2026-06-03,2241.699951171875
2026-06-04,2241.0
2026-06-05,2198.89990234375
2026-06-08,2151.39990234375
2026-06-09,2151.0
2026-06-10,2153.89990234375
2026-06-11,2135.60009765625
2026-06-12,
