ds,y
2026-04-08,1298.2550048828125
2026-04-09,1270.58837890625
2026-04-10,1310.848876953125
2026-04-13,1339.8046875
2026-04-15,1336.829833984375
2026-04-16,1334.2515869140625
2026-04-17,1335.540771484375
2026-04-20,1344.862060546875
2026-04-21,1376.79296875
2026-04-22,1356.166748046875
2026-04-23,1336.730712890625
2026-04-24,1315.1129150390625
2026-04-27,1303.114013671875
2026-04-28,1281.1988525390625
2026-04-29,1270.290771484375
2026-04-30,1252.8380126953125
2026-05-01,1252.8380126953125
2026-05-04,1260.1761474609375
2026-05-05,1240.839111328125
2026-05-06,1268.8033447265625
2026-05-07,1268.3074951171875
2026-05-08,1254.226318359375
2026-05-11,1255.8128662109375
2026-05-12,1229.93115234375
2026-05-13,1225.2703857421875
2026-05-14,1235.5833740234375
2026-05-15,1234.095947265625
2026-05-18,1240.6407470703125
2026-05-19,1230.4268798828125
2026-05-20,1226.9561767578125
2026-05-21,1232.41015625
2026-05-22,1253.73046875
2026-05-25,1281.0006103515625
2026-05-26,1268.4066162109375
2026-05-27,1262.0601806640625
2026-05-28,1262.0601806640625
2026-05-29,1245.896484375
2026-06-01,1229.3360595703125
2026-06-02,1216.3455810546875
2026-06-03,1231.6168212890625
2026-06-04,1241.2357177734375
2026-06-05,1251.548828125
2026-06-08,1239.748291015625
2026-06-09,1264.3409423828125
2026-06-10,1282.488037109375
2026-06-11,1305.9898681640625
2026-06-12,1329.5909423828125
2026-06-15,1316.501220703125
2026-06-16,1323.145263671875
2026-06-17,1325.6243896484375
2026-06-18,1331.078369140625
2026-06-19,1335.2431640625
2026-06-22,1341.0938720703125
2026-06-23,1327.11181640625
2026-06-24,1362.11669921875
2026-06-25,1375.9005126953125
2026-06-26,1375.9005126953125
2026-06-29,1375.9996337890625
2026-06-30,1363.7032470703125
2026-07-01,1368.264892578125
