ds,y
2026-02-23,908.5726928710938
2026-02-24,895.6858520507812
2026-02-25,892.8330078125
2026-02-26,883.9794311523438
2026-02-27,873.3060302734375
2026-03-02,865.0918579101562
2026-03-04,854.5167846679688
2026-03-05,863.4686889648438
2026-03-06,843.10546875
2026-03-09,827.0215454101562
2026-03-10,835.629150390625
2026-03-11,820.38134765625
2026-03-12,819.2008666992188
2026-03-13,803.7071533203125
2026-03-16,826.9231567382812
2026-03-17,831.5958251953125
2026-03-18,829.333251953125
2026-03-19,785.2130126953125
2026-03-20,767.7518310546875
2026-03-23,732.04248046875
2026-03-24,752.454833984375
2026-03-25,769.5717163085938
2026-03-27,743.8963623046875
2026-03-30,719.6473999023438
2026-04-01,730.17333984375
2026-04-02,738.6826171875
2026-04-06,758.45556640625
2026-04-07,759.4392700195312
2026-04-08,802.82177734375
2026-04-09,784.72119140625
2026-04-10,797.1161499023438
2026-04-13,781.7699584960938
2026-04-15,796.72265625
2026-04-16,782.5077514648438
2026-04-17,786.8853759765625
2026-04-20,782.5077514648438
2026-04-21,798.5425415039062
2026-04-22,786.8853759765625
2026-04-23,771.5883178710938
2026-04-24,772.0802001953125
2026-04-27,776.9496459960938
2026-04-28,769.817626953125
2026-04-29,766.3253784179688
2026-04-30,759.1441650390625
2026-05-01,759.1441650390625
2026-05-04,766.7189331054688
2026-05-05,759.734375
2026-05-06,783.58984375
2026-05-07,783.0979614257812
2026-05-08,768.145263671875
2026-05-11,751.2251586914062
2026-05-12,738.2399291992188
2026-05-13,737.4037475585938
2026-05-14,757.0291748046875
2026-05-15,755.0125122070312
2026-05-18,756.143798828125
2026-05-19,750.044677734375
2026-05-20,747.1427001953125
2026-05-21,746.7984008789062
2026-05-22,754.3239135742188
