ds,y
2026-06-18,1328.0999755859375
2026-06-19,1309.5
2026-06-22,1326.5
2026-06-23,1309.5
2026-06-24,1313.5999755859375
2026-06-25,1318.0999755859375
2026-06-26,1318.0999755859375
2026-06-29,1301.0
2026-06-30,1293.9000244140625
2026-07-01,1308.0
2026-07-02,1303.5
2026-07-03,1304.0
2026-07-06,1321.300048828125
2026-07-07,1308.4000244140625
2026-07-08,1275.9000244140625
2026-07-09,1279.800048828125
2026-07-10,1307.800048828125
2026-07-13,1296.9000244140625
2026-07-14,1293.0
2026-07-15,1295.5
2026-07-16,1296.5999755859375
2026-07-17,
